No.,IUPAC_Name,SMILES,Td/K,doi
entry30,"N5,N5'-(1,2,4,5-tetrazine-3,6-diyl)bis(1H-1,2,4-triazole-3,5-diamine)",NC1=NNC(NC2=NN=C(NC3=NC(N)=NN3)N=N2)=N1,630.25,10.1039/c7dt00935f
entry31,"N3,N6-di(1H-1,2,4-triazol-5-yl)-1,2,4,5-tetrazine-3,6-diamine",C1(NC2=NN=C(NC3=NC=NN3)N=N2)=NC=NN1,623.15,10.1039/c5dt01641j
entry32,"N3,N6-bis(3-nitro-1H-1,2,4-triazol-5-yl)-1,2,4,5-tetrazine-3,6-diamine",O=[N+](C1=NNC(NC2=NN=C(NC3=NC([N+]([O-])=O)=NN3)N=N2)=N1)[O-],556.75,10.1039/c7dt00935f
entry33,"N3,N6-bis(3-nitro-1H-1,2,4-triazol-5-yl)-1,2,4,5-tetrazine-3,6-diamine",O=[N+](C1=NNC(NC2=NN=C(N=N2)NC3=NC([N+]([O-])=O)=NN3)=N1)[O-],575.15,10.1039/c5dt01641j
entry34,"N3,N6-bis(3-nitro-1,2,4-oxadiazol-5-yl)-1,2,4,5-tetrazine-3,6-diamine",O=[N+](N(CN([N+]([O-])=O)C1=NON=C1C#N)C2=NON=C2C#N)[O-],405.15, 10.1021/acs.cgd.7b01264
entry35,"N3,N6-bis(3-azido-1H-1,2,4-triazol-5-yl)-1,2,4,5-tetrazine-3,6-diamine",[N-]=[N+]=NC1=NNC(NC2=NN=C(NC3=NC(N=[N+]=[N-])=NN3)N=N2)=N1,462.95,10.1039/c7dt00935f
entry36,"N3,N6-bis(2-methyl-2H-tetrazol-5-yl)-1,2,4,5-tetrazine-3,6-diamine",CN1N=NC(NC2=NN=C(NC3=NN(C)N=N3)N=N2)=N1,579.15,10.1039/c5dt01641j
entry37,"N3,N4-bis(2,2,2-trinitroethyl)-1,2,5-oxadiazole-3,4-diamine",C12=NN=CN1N=CN=N2,516.15,10.1016/j.cej.2020.124027
entry38,"N3,N3'-methylenebis(1,2,5-oxadiazole-3,4-diamine)",O=[N+](C1=NN(C([N+]([O-])=O)=C1[N+]([O-])=O)CN2C([N+]([O-])=O)=C([N+]([O-])=O)C([N+]([O-])=O)=N2)[O-],478.15,10.1002/anie.201609267
entry39,"N3,N3'-(1,2,4,5-tetrazine-3,6-diyl)bis(N4-(2,2,2-trinitroethyl)-1,2,5-oxadiazole-3,4-diamine)",NC(N=C1N)=NN1C2=NN=C(N3C(N)=NC(N)=N3)N=N2,643.15,10.5560/ZNB.2013-3237 
entry40,"N3-(2,2,2-trinitroethyl)-1,2,4-oxadiazole-3,5-diamine",NC1=NC([N+]([O-])=O)=NN1NCC([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O,381.15,10.1039/c3ta15057g
entry41,"N3-(1H-tetrazol-1-yl)-N4-(2,2,2-trinitroethyl)-4H-1,2,4-triazole-3,4-diamine",O=[N+](C([N+]([O-])=O)([N+]([O-])=O)CNN1C(NN2N=NN=C2)=NN=C1)[O-],455.15,10.1016/j.cej.2020.124027
entry42,"N3-(1H-tetrazol-1-yl)-4H-1,2,4-triazole-3,4-diamine",NN1C(NN2N=NN=C2)=NN=C1,488.15,10.1016/j.cej.2020.124027
entry43,"N2-nitro-N2-(2,2,2-trinitroethyl)glycinoyl azide",OC(CN([N+]([O-])=O)CC([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O)=O,440.15,10.1002/chem.201301190
entry44,N2-methyl-N2-nitroglycinoyl azide,CN(CC(N=[N+]=[N-])=O)[N+]([O-])=O,329.15,10.1002/asia.201601148
entry45,"N2-([1,2,4]triazolo[4,3-b][1,2,4,5]tetrazin-6-yl)-3,5-dinitropyrazine-2,6-diamine",NC1=NC2=NN=NN2N=C1C3=NN=NN3,493.15,10.1039/c9cc01777a
entry46,"N'1,N'2-bis(2,2,2-trinitroethyl)oxalohydrazide",N/C(NN=CC=NN/C(N)=C([N+]([O-])=O)/[N+]([O-])=O)=C([N+]([O-])=O)/[N+]([O-])=O,490.83,10.1007/s10973-019-09013-x
entry47,N/A,O=C(O)CN([N+]([O-])=O)C(CO[N+]([O-])=O)(CO[N+]([O-])=O)CO[N+]([O-])=O,409.15,10.1002/ejoc.201700434
entry48,"N,N'-methylenebis(N-(4-cyano-1,2,5-oxadiazol-3-yl)nitramide)",O=[N+](N(CN([N+]([O-])=O)C1=NON=C1C2=NNN=N2)C3=NON=C3C4=NNN=N4)[O-],427.15, 10.1021/acs.cgd.7b01264
entry49,"N,N'-methylenebis(N-(4-azido-1,2,5-oxadiazol-3-yl)nitramide)",[O-]/[N+](C1=NON=C1N([N+]([O-])=O)CN([N+]([O-])=O)C2=NON=C2/[N+]([O-])=N/N3N=C([N+]([O-])=O)N=C3)=N\N4N=C([N+]([O-])=O)N=C4,420.15, 10.1039/d1ra03919a
entry50,"N,N'-methylenebis(N-(4-(hydrazineyl(imino)methyl)-1,2,5-oxadiazol-3-yl)nitramide)",N=C(C1=NON=C1N(CCN(C2=NON=C2C(NN)=N)[N+]([O-])=O)[N+]([O-])=O)NN,418.15,10.1039/c6ta08055c
entry51,"N,N'-methylenebis(N-(4-(2H-tetrazol-5-yl)-1,2,5-oxadiazol-3-yl)nitramide)",O=C(CC(NC(CO[N+]([O-])=O)(CO[N+]([O-])=O)CO[N+]([O-])=O)=O)NC(CO[N+]([O-])=O)(CO[N+]([O-])=O)CO[N+]([O-])=O,377.15,10.1002/ejoc.201700434
entry52,"N,N'-methylenebis(N-(4-(1H-tetrazol-5-yl)-1,2,5-oxadiazol-3-yl)nitramide)",O=[N+](NC1=NON=C1C2=NN=C(C3=NN=C(C4=NON=C4N[N+]([O-])=O)O3)O2)[O-],363.15,10.1002/anie.202014207
entry53,"N,N'-methylenebis(N-(4-(1,2,4-oxadiazol-3-yl)-1,2,5-oxadiazol-3-yl)nitramide)",O=[N+](N(CCN(C1=NON=C1C2=NOC=N2)[N+]([O-])=O)C3=NON=C3C4=NOC=N4)[O-],448.15,10.1039/c6ta08055c
entry54,"N,N'-methylenebis(N-((3,4,5-triiodo-1H-pyrazol-1-yl)methyl)nitramide)",IC1=C(I)N=C(I)N1CN([N+]([O-])=O)CN([N+]([O-])=O)CN2C(I)=C(I)N=C2I,493.95, 10.1021/acs.inorgchem.7b02277
entry55,"N,N'-methylenebis(N-((2,4,5-triiodo-1H-imidazol-1-yl)methyl)nitramide)",N/C(NNC(NN/C(N)=C([N+]([O-])=O)/[N+]([O-])=O)=O)=C([N+]([O-])=O)\[N+]([O-])=O,508.25,10.1039/c6nj03370a
entry56,"N,N'-bis(4-azido-1,2,5-oxadiazol-3-yl)methanediamine",O=[N+](C1=NOC(NC2=NN=C(NC3=NC([N+]([O-])=O)=NO3)N=N2)=N1)[O-],477.15, 10.1002/prep.201900014
entry57,"N,N-bis((5-azido-3,4-dinitro-1H-pyrazol-1-yl)methyl)nitramide",O=[N+](OCN1N=C(N=C1C2=NC([N+]([O-])=O)=NN2CO[N+]([O-])=O)[N+]([O-])=O)[O-],449.15,10.1039/c6ta02384c
entry58,"N,N-bis((4-nitro-1H-pyrazol-1-yl)methyl)nitramide",O=[N+](OCN1C2=NON=C2N(CO[N+]([O-])=O)C3=NON=C13)[O-],469.15,10.1039/c6ta02384c
entry59,"N,N-bis((4-azido-3,5-dinitro-1H-pyrazol-1-yl)methyl)nitramide",[NH2+]=C1OC([C-]([N+]([O-])=O)[N+]([O-])=O)=NN1N,416.15,10.1039/c9cc08182h
entry60,"N,N-bis((4-amino-3,5-dinitro-1H-pyrazol-1-yl)methyl)nitramide",O=[N+](OCN1C2=C(N(CO[N+]([O-])=O)N=C2[N+]([O-])=O)C([N+]([O-])=O)=N1)[O-],479.15,10.1039/c6ta02384c
entry61,"N,N-bis((3,5-dinitro-1H-pyrazol-1-yl)methyl)nitramide",O=[N+](N(CN1C=C([N+]([O-])=O)C([N+]([O-])=O)=N1)CN2C=C([N+]([O-])=O)C([N+]([O-])=O)=N2)[O-],534.15,10.1002/chem.201300747
entry62,"N,N-bis((3,4-dinitro-1H-pyrazol-1-yl)methyl)nitramide",O=C(C1=CC=CC=C1)C2=C(N=[N+]=[N-])C=CC=C2,362.72,10.1007/s10973-009-0572-8
entry63,"N,N-bis((3,4,5-triiodo-1H-pyrazol-1-yl)methyl)nitramide",IC1=C(I)C(I)=NN1CC([N+]([O-])=O)([N+]([O-])=O)CN2C(I)=C(I)C(I)=N2,491.25, 10.1021/acs.inorgchem.7b02277
entry64,"N,N-bis((2,4,5-triiodo-1H-imidazol-1-yl)methyl)nitramide",IC1=C(I)N=C(I)N1CC([N+]([O-])=O)([N+]([O-])=O)CN2C(I)=C(I)N=C2I,478.15, 10.1021/acs.inorgchem.7b02277
entry65,"N,N-bis((1H-tetrazol-5-yl)methyl)nitramide",O=[N+](N(CC(O[N+]([O-])=O)CN([N+]([O-])=O)C(CO[N+]([O-])=O)(CO[N+]([O-])=O)CO[N+]([O-])=O)C(CO[N+]([O-])=O)(CO[N+]([O-])=O)CO[N+]([O-])=O)[O-],423.15,10.1002/ejoc.201700434
entry66,"N',N'',2-tris((E)-2,4,6-trinitrobenzylidene)hydrazine-1-carbohydrazonhydrazide",O=[N+](C([N+]([O-])=O)C1=NNC(C2=NON=C2/N=N/C3=NON=C3C4=NC(C([N+]([O-])=O)[N+]([O-])=O)=NN4)=N1)[O-],393.15,10.1039/c9dt01514k
entry67,"N,N'-(methylenebis(1,2,4-oxadiazole-3,5-diyl))dinitramide",O=[N+](C1=NN(N[N+]([O-])=O)C(C2=NC([N+]([O-])=O)=NN2N[N+]([O-])=O)=N1)[O-],394.15,10.1002/anie.201507456
entry68,"N,N'-(hydrazine-1,2-diylbis(2-oxoethane-2,1-diyl))bis(N-methylnitramide)",O=[N+](C1=NON=C1C2=NON=C2C3=NON=C3[N+]([O-])=O)[O-],529.25,10.1007/s10973-018-7242-7
entry69,"N,N'-(ethane-1,2-diylbis(3-nitro-1H-1,2,4-triazole-1,5-diyl))dinitramide",O=[N+](NC1=NON=C1C2=NOC(C3=NC(C4=NON=C4N[N+]([O-])=O)=NO3)=N2)[O-],357.15,10.1039/c8ce00857d
entry70,"N,N'-(ethane-1,2-diylbis(3,5-dinitro-1H-pyrazole-1,4-diyl))dinitramide",O=[N+](NC1=C([N+]([O-])=O)C([N+]([O-])=O)=NN1CCN2N=C([N+]([O-])=O)C([N+]([O-])=O)=C2N[N+]([O-])=O)[O-],354.15,10.1002/chem.201404991
entry71,"N,N'-(ethane-1,2-diylbis(3,4-dinitro-1H-pyrazole-1,5-diyl))dinitramide",O=[N+](C(CN([N+]([O-])=O)C1=NON=C1C2=NOC(C3=NC(C4=NON=C4N([N+]([O-])=O)CC([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O)=NO3)=N2)([N+]([O-])=O)[N+]([O-])=O)[O-],424.95,10.1002/cplu.201800107
entry72,"N,N'-(ethane-1,2-diyl)bis(N-(4-(hydrazineyl(imino)methyl)-1,2,5-oxadiazol-3-yl)nitramide)",CN=[N+]([O-])C1=NON=C1N([N+]([O-])=O)CN([N+]([O-])=O)C2=NON=C2/[N+]([O-])=N\C,435.15,10.1039/c6ta08055c
entry73,"N,N'-(ethane-1,2-diyl)bis(N-(4-(1H-tetrazol-5-yl)-1,2,5-oxadiazol-3-yl)nitramide)",CN(CC#N)[N+]([O-])=O,466.15,10.1002/asia.201601148
entry74,"N,N'-(ethane-1,2-diyl)bis(N-(4-(1,2,4-oxadiazol-3-yl)-1,2,5-oxadiazol-3-yl)nitramide)",[N-]=[N+]=NC1=NON=C1NCNC2=NON=C2N=[N+]=[N-],451.15,10.1039/D1NJ04188F
entry75,"N,N'-(diazene-1,2-diylbis([1,2,4]triazolo[4,3-b][1,2,4,5]tetrazine-3,6-diyl))dinitramide",[O-][N+]1=NC2=NN=C(/N=N\C3=NN=C4N=[N+](C(N)=NN43)[O-])N2N=C1N,483.15,10.1039/c9cc04496e
entry76,"N,N'-(7-amino-[1,2,4]triazolo[1,5-a][1,3,5]triazine-2,5-diyl)dinitramide",O=[N+](C([N+]([O-])=O)([N+]([O-])=O)C1=NN=C(C([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O)O1)[O-],375.15,10.1021/jacs.7b05158
entry77,"N,N'-(5-amino-4H,4'H-[3,3'-bi(1,2,4-triazole)]-4,5'-diyl)dinitramide",NC1=C([N+]([O-])=O)C(N=[N+]=[N-])=NN1,430.15,10.1016/j.fpc.2021.09.003
entry78,"N,N'-(5,5'-dinitro-2H,2'H-[3,3'-bi(1,2,4-triazole)]-2,2'-diyl)dinitramide",O=[N+](C1=C([N+]([O-])=O)N(N[N+]([O-])=O)C(C2=NC([N+]([O-])=O)=C([N+]([O-])=O)N2N[N+]([O-])=O)=N1)[O-],389.15,10.1002/anie.201507456
entry79,"N,N'-(5,5'-diamino-4H,4'H-[3,3'-bi(1,2,4-triazole)]-4,4'-diyl)dinitramide",NC1=NC(/N=N\C2=NOC(N)=N2)=NO1,628.15,10.1039/c4ra10821c
entry80,"N,N'-(4,4',5,5'-tetranitro-1H,1'H-[2,2'-biimidazole]-1,1'-diyl)dinitramide",O=[N+](C1=NN(N[N+]([O-])=O)C2=C1N(N[N+]([O-])=O)N=C2[N+]([O-])=O)[O-],401.15,10.1002/anie.201606894
entry81,"N,N'-(3,6-dinitropyrazolo[4,3-c]pyrazole-1,4-diyl)dinitramide",O=[N+](C1=NN(CCN2N=C([N+]([O-])=O)N=C2N[N+]([O-])=O)C(N[N+]([O-])=O)=N1)[O-],380.15,10.1002/anie.201408127
